gene_name,log 2 FC,orginial p,adjusted p
CA2,2.532498453728786,3.5920967367083072e-37,0.0
LRRC4C,-2.9870372185811433,3.856029988678296e-37,0.0
ALDOA,1.668739941865917,4.688929901416608e-37,0.0
GFAP,3.0001309320317953,6.069828356535255e-37,0.0
GLRB,-3.2050612767333977,6.960943585658497e-37,0.0
ABHD2,-2.6828729096424175,7.573426818267478e-37,0.0
RNF128,-4.527014761815882,9.93524843385071e-37,0.0
RPS15,1.522259764839568,1.2554124701383264e-36,0.0
CLASP2,-2.0213301018802072,1.5903361056685002e-36,0.0
DDX5,-1.3734987834150612,2.438069602400046e-36,0.0
COL1A2,5.833529916426741,2.6172536873039096e-36,0.0
GAD1,-4.536928523639693,2.9621831488938256e-36,0.0
CSMD1,-2.352366530426738,3.139474699705975e-36,0.0
LINC00643,-4.495505028472594,3.443542777424963e-36,0.0
PLSCR1,2.8645188543134483,4.394921334632798e-36,0.0
HSPB6,2.465198108372344,5.83186288245006e-36,0.0
BOK,-5.3132892381843995,6.393553759429414e-36,0.0
C3,6.25986704155945,9.344511892434399e-36,0.0
GALNT13,-2.86754290458055,1.3150116328816842e-35,0.0
SSBP1,2.042306854062142,1.8416991103406835e-35,0.0
SELENOM,-2.746446827509827,1.8971750272124602e-35,0.0
ITGA7,2.530320698694426,2.2323011409706505e-35,0.0
DUSP26,-4.521649256803219,2.424107231950692e-35,0.0
LRRC7,-4.425778740818824,2.9689716508059126e-35,0.0
TRIP6,2.066176092809364,3.062959880838962e-35,0.0
DHCR7,-2.638739148687586,3.8218263505857224e-35,0.0
MMP16,-2.8789421054643283,3.968141517828269e-35,0.0
TMEM132C,-3.8195474002660634,4.079633154694843e-35,0.0
VAT1L,-4.560026793797819,5.248242261291153e-35,0.0
SOX6,-2.4716864347595067,5.611832854724816e-35,0.0
RPL39,1.8336939380098698,6.688566272448326e-35,0.0
SRI,1.6125816970994102,7.789792626688393e-35,0.0
LRRTM2,-3.0015572882913806,7.874034370165141e-35,0.0
VXN,-3.075699883392295,8.043375445266795e-35,0.0
MSMO1,-2.347581010539067,8.204083193589444e-35,0.0
FTL,1.8288988226297482,8.298574177698607e-35,0.0
LRIG1,2.1093842081397844,8.970167767563202e-35,0.0
TSPAN15,-5.1192561672276184,1.0159751655657027e-34,0.0
P2RX7,-3.292625000221986,1.0575251450636345e-34,0.0
NRP2,3.731735527817867,2.1884823010426192e-34,0.0
UBA52,1.555804390976561,2.3195249633311285e-34,0.0
BEX4,-2.2079619637114365,3.1686404920528115e-34,0.0
RPL32,1.6309012624784052,3.7591254902029653e-34,0.0
SQLE,-3.1165386027167328,4.213264143815944e-34,0.0
SSR3,1.6795776109309515,4.995002643739812e-34,0.0
PCDH9,-1.487751022309003,5.688008922833935e-34,0.0
DPYD,3.5014956609320422,5.7091401130807655e-34,0.0
TFPI,5.666134738324575,6.0664659220096335e-34,0.0
TNFRSF1A,2.37961812921378,7.299640790070741e-34,0.0
RPL8,1.7238347470995903,1.0042272882730688e-33,0.0
TOMM7,1.735857258477564,1.0334140382171755e-33,0.0
SLC3A2,1.5603275057025954,1.1608867933739678e-33,0.0
SEPTIN7P2,1.2669792336695607,1.606295936943715e-33,0.0
SSTR1,-3.478580198110671,2.0630265753507592e-33,0.0
GADD45A,2.67282865366871,2.0871592928032885e-33,0.0
KLRC3,-4.665209942425544,2.108374518410533e-33,0.0
TRAF4,-2.3653397428190885,2.2042663468317048e-33,0.0
CAPG,4.775743898460692,2.631929800970681e-33,0.0
THBS3,3.0925390869041873,2.732657594616263e-33,0.0
CXCL14,0.42076832507326345,3.018133523766815e-33,0.0
WASF1,-2.9809236798338503,3.439731415752956e-33,0.0
C1S,3.5775551346808943,3.620666659002656e-33,0.0
KIF19,-4.153540554808137,6.346656957673164e-33,0.0
MYBPC1,1.6300151199517698,6.697529617097106e-33,0.0
ZNHIT1,1.9695806901309245,6.774838171075205e-33,0.0
CYREN,2.7259448927135095,8.621956746996797e-33,0.0
POLE4,2.1942316663662003,1.1362296598854568e-32,0.0
